Order_ID,Order_Date,Customer_ID,Region,City,Product_ID,Product_Category,Payment_Method,Discount,Product_Price,Quantity,Total_Before_Discount,Discount_Amount,Total_Sales
1,01-01-2023 00:00,1102,South,Pune,141,Electronics,Card,0.21,4411.3,6,26467.8,5558.238,20528.8
2,01-01-2023 01:00,1435,West,Mumbai,318,Clothing,NetBanking,0.11,4726.34,9,42537.06,4679.0766,37301.49
3,01-01-2023 02:00,1860,South,Delhi,156,Electronics,Card,0.04,387.23,1,387.23,15.4892,197.89
4,01-01-2023 03:00,1270,East,Pune,325,Clothing,UPI,0.26,3725.55,4,14902.2,3874.572,10944.11
5,01-01-2023 04:00,1106,East,Delhi,295,Clothing,NetBanking,0.18,3659.87,2,7319.74,1317.5532,5898.62
6,01-01-2023 05:00,1071,South,Pune,347,Clothing,UPI,0.11,4740.84,9,42667.56,4693.4316,37776.26
7,01-01-2023 06:00,1700,North,Chennai,265,Home,NetBanking,0.01,1339.28,3,4017.84,40.1784,3904.26
8,01-01-2023 07:00,1020,East,Chennai,161,Clothing,Cash,0.16,3736.68,2,7473.36,1195.7376,6342.27
9,01-01-2023 08:00,1614,North,Mumbai,362,Electronics,Card,0.28,367.67,8,2941.36,823.5808,1856.17
10,01-01-2023 09:00,1121,East,Mumbai,211,Clothing,NetBanking,0.18,3193.1,4,12772.4,2299.032,10774.02
11,01-01-2023 10:00,1466,North,Delhi,352,Electronics,Cash,0.29,1819.15,2,3638.3,1055.107,2528.28
12,01-01-2023 11:00,1214,North,Pune,298,Clothing,UPI,0.04,3867.66,4,15470.64,618.8256,15145.64
13,01-01-2023 12:00,1330,North,Bangalore,277,Clothing,Cash,0.17,4330.19,7,30311.33,5152.9261,25237.46
14,01-01-2023 13:00,1458,South,Mumbai,125,Home,UPI,0.24,1887.62,7,13213.34,3171.2016,9664.06
15,01-01-2023 14:00,1087,North,Bangalore,345,Electronics,NetBanking,0.16,2675.37,,2675.37,428.0592,1660.82
16,01-01-2023 15:00,1372,North,Bangalore,118,Clothing,NetBanking,0.03,675.28,1,675.28,20.2584,974.52
17,01-01-2023 16:00,1099,North,Pune,364,Clothing,Card,0.17,2142.84,3,6428.52,1092.8484,5061.94
18,01-01-2023 17:00,1871,East,Delhi,416,Electronics,Card,0.18,1867.92,2,3735.84,672.4512,3034.24
19,01-01-2023 18:00,1663,North,Pune,119,Clothing,NetBanking,0.22,997.3,3,2991.9,658.218,2152.86
20,01-01-2023 19:00,1130,East,Mumbai,205,Sports,UPI,0.23,4482.95,4,17931.8,4124.314,14210.21
21,01-01-2023 20:00,1661,North,Bangalore,336,Home,UPI,0.23,825.63,7,5779.41,1329.2643,4427.74
22,01-01-2023 21:00,1308,North,Pune,405,Electronics,NetBanking,0.2,3215.12,2,6430.24,1286.048,4730.11
23,01-01-2023 22:00,1769,South,Pune,345,Home,UPI,,4461.7,7,31231.9,1873.914,29278.84
24,01-01-2023 23:00,1343,East,Pune,180,Sports,NetBanking,0.12,4568.65,5,22843.25,2741.19,20439.46
25,02-01-2023 00:00,1491,North,Mumbai,249,Sports,Card,0.23,3986.87,8,31894.96,7335.8408,24298.1
26,02-01-2023 01:00,1413,East,Delhi,496,Sports,UPI,0.29,963.09,8,7704.72,2234.3688,5001.84
27,02-01-2023 02:00,1805,East,Pune,495,Electronics,Card,0.02,4105.41,5,20527.05,410.541,20335.57
28,02-01-2023 03:00,1385,West,Mumbai,109,Sports,Cash,0.16,1455.17,8,11641.36,1862.6176,9485.06
29,02-01-2023 04:00,1191,South,Bangalore,420,Electronics,Card,0.09,4619.75,9,41577.75,3741.9975,37325.76
30,02-01-2023 05:00,1955,South,Chennai,323,Electronics,Cash,0.07,3574.52,7,25021.64,1751.5148,22986.55
31,02-01-2023 06:00,1276,South,Mumbai,363,Clothing,Card,0.15,3947.81,,23686.86,3553.029,20200.5
32,02-01-2023 07:00,1160,West,Chennai,248,Electronics,Card,0.18,516.66,7,3616.62,650.9916,3081.68
33,02-01-2023 08:00,1459,West,Pune,377,Sports,UPI,0,2955.55,7,20688.85,0,20792.03
34,02-01-2023 09:00,1313,South,Pune,373,Electronics,Card,0.23,4123.6,3,12370.8,2845.284,9201.96
35,02-01-2023 10:00,1021,West,Mumbai,293,Electronics,NetBanking,0.25,4321.79,6,25930.74,6482.685,19702.11
36,02-01-2023 11:00,1252,West,Chennai,271,Home,UPI,0.29,240.3,6,1441.8,418.122,1228.76
37,02-01-2023 12:00,1747,West,Pune,364,Sports,UPI,0.05,4701.88,9,42316.92,2115.846,40330.86
38,02-01-2023 13:00,1856,South,Bangalore,409,Electronics,UPI,0.18,312.36,1,312.36,56.2248,-75.26
39,02-01-2023 14:00,1560,South,Delhi,125,Clothing,Card,0.13,3111.14,7,21777.98,2831.1374,75006.08
40,02-01-2023 15:00,1474,South,Delhi,449,Electronics,UPI,0.1,3497.6,1,3497.6,349.76,3232.31
41,02-01-2023 16:00,1058,West,Pune,455,Electronics,Cash,0.17,625.99,4,2503.96,425.6732,2242.12
42,02-01-2023 17:00,1510,South,Chennai,125,Home,Cash,,335.26,7,2346.82,539.7686,1493.36
43,02-01-2023 18:00,1681,West,Pune,133,Sports,Card,0.01,,6,23676.42,236.7642,23954.91
44,02-01-2023 19:00,1475,North,Chennai,363,Sports,UPI,0.29,1984.89,6,11909.34,3453.7086,8404.76
45,02-01-2023 20:00,1699,West,Bangalore,237,Clothing,NetBanking,0.24,624.85,5,3124.25,749.82,2649.59
46,02-01-2023 21:00,1975,East,Chennai,403,Clothing,NetBanking,0.23,3837.07,7,26859.49,6177.6827,20299.85
47,02-01-2023 22:00,1782,South,Pune,282,Clothing,Cash,0.23,4260.9,9,38348.1,8820.063,29580.66
48,02-01-2023 23:00,1189,South,Bangalore,462,Electronics,Card,0.12,2978.19,6,17869.14,2144.2968,15335.97
49,03-01-2023 00:00,1957,East,Mumbai,341,Electronics,Card,0.23,890.06,7,6230.42,1432.9966,4833.76
50,03-01-2023 01:00,1686,West,Delhi,153,Clothing,Card,0.12,174.59,9,1571.31,188.5572,1512.48
51,03-01-2023 02:00,1957,North,Pune,267,Sports,Card,0.27,3533.93,7,24737.51,6679.1277,18204.75
52,03-01-2023 03:00,1562,East,Pune,218,Sports,Card,0.05,2795.68,6,16774.08,838.704,15705.06
53,03-01-2023 04:00,1875,East,Pune,242,Clothing,UPI,0.09,3288.91,3,9866.73,888.0057,8424.01
54,03-01-2023 05:00,1566,West,Bangalore,180,Home,UPI,0.17,4084.6,1,4084.6,694.382,3477.97
